Date,adjusted_close,volume,direction,Symbol
2016-11-14,115.08,51377040,0,META
2016-11-11,119.02,32840137,0,META
2016-11-10,120.8,67846704,0,META
2016-11-09,123.18,31916020,0,META
2016-11-08,124.22,19460768,1,META
2016-11-07,122.15,23008880,1,META
2016-11-04,120.75,30545466,1,META
2016-11-03,120.0,63766259,0,META
2016-11-02,127.17,50190225,0,META
2016-11-01,129.5,22077779,0,META
2016-10-31,130.99,15668982,0,META
2016-10-28,131.29,24545547,1,META
2016-10-27,129.69,16741393,0,META
2016-10-26,131.04,13084731,0,META
2016-10-25,132.29,13336787,0,META
2016-10-24,133.28,17470227,1,META
2016-10-21,132.07,19088794,1,META
2016-10-20,130.0,13167503,0,META
2016-10-19,130.11,16752321,1,META
2016-10-18,128.57,13503967,1,META
2016-10-17,127.54,11351681,0,META
2016-10-14,127.88,13345292,1,META
2016-10-13,127.82,17139306,0,META
2016-10-12,129.05,11072991,1,META
2016-10-11,128.88,17537928,0,META
2016-10-10,130.24,15138720,1,META
2016-10-07,128.99,12804420,1,META
2016-10-06,128.74,11682729,1,META
2016-10-05,128.47,12386753,1,META
2016-10-04,128.19,14307548,0,META
2016-10-03,128.77,13156943,1,META
2016-09-30,128.27,18402945,1,META
2016-09-29,128.09,14532241,0,META
2016-09-28,129.23,12047636,1,META
2016-09-27,128.69,15637111,1,META
2016-09-26,127.31,15064940,0,META
2016-09-23,127.96,28326266,0,META
2016-09-22,130.08,15538307,1,META
2016-09-21,129.94,14068336,1,META
2016-09-20,128.64,11083808,0,META
2016-09-19,128.65,14958794,0,META
2016-09-16,129.07,24119174,1,META
2016-09-15,128.35,15111838,1,META
2016-09-14,127.77,15720388,1,META
2016-09-13,127.21,18016152,0,META
2016-09-12,128.69,21252752,1,META
2016-09-09,127.1,27100679,0,META
2016-09-08,130.27,15676595,0,META
2016-09-07,131.05,27990796,1,META
2016-09-06,129.73,26278407,1,META
2016-09-02,126.51,12118773,1,META
2016-09-01,126.17,13536125,1,META
2016-08-31,126.12,14200636,1,META
2016-08-30,125.84,17804286,0,META
2016-08-29,126.54,15925900,1,META
2016-08-26,124.96,17504825,1,META
2016-08-25,123.89,10730811,1,META
2016-08-24,123.48,12243719,0,META
2016-08-23,124.37,13309452,1,META
2016-08-22,124.15,14386361,1,META
2016-08-19,123.56,11688265,0,META
2016-08-18,123.91,12400816,0,META
2016-08-17,124.37,13794179,1,META
2016-08-16,123.3,14222410,0,META
2016-08-15,123.9,19295130,0,META
2016-08-12,124.88,12158955,0,META
2016-08-11,124.9,11729519,1,META
2016-08-10,124.88,10670148,0,META
2016-08-09,125.06,19620967,0,META
2016-08-08,125.26,15233929,1,META
2016-08-05,125.15,20184035,1,META
2016-08-04,124.36,21065974,1,META
2016-08-03,122.51,18525332,0,META
2016-08-02,123.09,23968414,0,META
