Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2012-03-30,9.833127131832509,-52.103998181728144,0.3390915795788033,0.1151429346349709,0.7758385501941917,0.2571472012710754,0.0779167001596382,0.3426805325347719,-0.1122335819557907,2.270904632225321,2.310037964213748,12.32051519701884,3.9872951917186574,1.6872859302964591,0.1337615146001491,-0.0112484135396778,16253.97,16179.968,2.2881,3.0,3.35,0.09,2.0732,0.5444,8.2,133744.0,31.175,30.99390598244965,3221.477134146342,3113.499295539163,100.0,100.0,24.363039338581046,5742164035.963459
2012-04-30,9.284,0.79,0.244,0.326,0.803,0.293,0.421,0.169,0.829,2.044,2.786,9.395,3.761,1.556,0.13,-0.053,16253.97,16253.726,2.2919,2.73,3.12,0.16,2.0732,0.5444,8.2,133827.0,32.00333333333333,31.504452991224824,3192.33024691358,3194.709672828941,91.9055649241146,67.16964540980119,24.534778551809424,5976360843.2753525
2012-05-31,8.204,0.636,0.259,0.32,0.805,0.286,0.391,0.161,0.791,2.092,2.83,8.878,3.739,1.508,0.132,-0.06,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0,31.153333333333336,30.34722649561241,2912.354988399072,3108.720789819665,14.38547486033528,33.49089473098415,24.701882980773235,6922951939.355852
2012-06-29,20.529468767969146,-3.1147321761734323,0.5760086242045535,0.2841881240505994,0.7713599341071885,0.2246765989095055,0.3038690429879788,0.3570096804071038,0.657690260457538,1.6105512447612698,2.659558904980687,9.164012527963411,3.707254777766368,1.909442352793496,0.1290800002077151,-0.100835557506647,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0,30.598333333333333,30.468613247806204,3052.8030634573306,3052.496099589994,31.35498320268753,0.0,24.85454532115777,6569901980.864005
2012-07-31,8.265,0.643,0.259,0.32,0.805,0.286,0.391,0.161,0.791,2.092,2.83,8.878,3.739,1.508,0.132,-0.06,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0,29.75,29.9693066239031,2939.9464508094643,2968.368167555289,26.19270346117865,0.0,24.980254414734613,7142192044.933542
2012-08-31,8.17,1.441,0.396,0.23,0.8,0.267,0.268,0.139,0.827,1.929,2.603,11.775,3.473,1.407,0.133,-0.127,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0,30.293333333333333,30.39465331195155,3071.9574468085107,3021.568987025102,71.05943152454779,27.21599619174673,25.10164932643992,7147133018.049934
2012-09-28,9.520556240715802,23.69522938607306,0.4956565664644466,0.2565049284580927,0.7695695182536587,0.318375561448752,0.3386850740896762,0.1613462639997317,0.590909581243965,2.0428072117846643,2.443320361689292,12.26534510550144,3.2417360153651456,1.4379927765532017,0.1299549401409986,-0.0693610939089667,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0,30.016666666666666,30.07732665597577,2966.7035830618893,2992.8691602266213,38.24362606232298,65.37073707949895,25.218816339911125,8016195836.912149
2012-10-31,7.595,1.335,0.396,0.23,0.8,0.267,0.268,0.139,0.827,1.929,2.603,11.775,3.473,1.407,0.133,-0.127,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0,29.706666666666667,29.308663327987887,2846.7896103896105,2961.81688008667,37.19008264462811,59.80224871855451,25.346640013112903,9298119755.774366
2012-11-30,7.085,1.184,0.428,0.217,0.793,0.253,0.238,0.142,0.767,2.084,2.754,10.84,3.701,1.427,0.137,-0.137,16253.97,16300.035,2.3125,2.37,2.81,0.16,2.0732,0.5444,7.7,134834.0,28.305,27.96183166399394,2656.4963153596323,2823.329836270377,0.0,28.44882727700994,25.444707212850645,11706922308.106531
2012-12-31,7.074,1.188,0.428,0.217,0.793,0.253,0.238,0.142,0.767,2.084,2.754,10.84,3.701,1.427,0.137,-0.137,16253.97,16300.035,2.3122,2.54,2.95,0.09,2.0732,0.5444,7.9,135075.0,27.28823333333333,27.335765831996973,2664.388546365915,2722.558157371719,2.9231101645215034,0.0,25.53981306859363,8930408463.570286
