Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,SPY,NDAQ
2013-12-31,36.771,1.629,0.0,0.002,0.308,0.131,0.016,0.273,2.554,0.537,1.109,8.477,4.805,39.939,0.086,-0.167,16553.3475,16712.76,2.3472,3.72,3.96,0.07,1.466,0.6098,6.7,137368.0,296.5114285714285,309.02874366150047,39877.83606295012,38546.71447875817,85.06490404634148,80.03448915335287,165.88017193962884,35613677349.85625,155.7661,11.3712
2014-01-31,33.092,1.465,0.0,0.002,0.308,0.131,0.016,0.273,2.554,0.537,1.109,8.477,4.805,39.939,0.086,-0.167,16932.0518,16654.247,2.3529,3.35,3.61,0.07,1.6155,0.9371,6.6,137552.0,304.12857142857143,315.6502445066337,35867.53154679088,38368.70912873581,70.70679611650485,69.77514638869795,170.67516850083626,33749686380.70064,150.2756,10.8997
2014-02-28,30.416,-1.772376247727408,0.0,0.004,0.306,0.092,0.03,0.347,3.121,0.542,1.072,7.689,3.73,45.26,0.088,-0.143,16932.0518,16654.247,2.3555,3.31,3.59,0.06,1.6155,0.9371,6.7,137707.0,312.0735714285714,321.8435452390826,36208.48592200111,37317.95117724736,71.41262079852154,60.85056428062739,175.42286513081953,35674469972.74589,157.1155,10.9683
2014-03-31,28.261,3.996473491944992,0.0,0.004,0.306,0.092,0.03,0.347,3.121,0.542,1.072,7.689,3.73,45.26,0.088,-0.143,16932.0518,16654.247,2.3603,3.31,3.56,0.06,1.6155,0.9371,6.7,137986.0,317.1353571428571,323.7797392072049,33634.985922001106,35237.00113026436,63.08268872191556,52.16692152662946,179.23170782820313,33809134196.32385,158.4213,10.5889
2014-04-30,25.562,-5.486433011394147,0.0,0.004,0.306,0.092,0.03,0.347,3.121,0.542,1.072,7.689,3.73,45.26,0.088,-0.143,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0,319.9825,321.15977397957755,30411.48592200111,33418.31925533444,56.60283593957063,47.94991354914171,183.30927367163903,32008093027.32365,159.5225,10.5774
2014-05-30,33.02373253208897,-1.71244390046933,0.0,0.0083262220485388,0.2974575793294007,0.1773397482789895,0.0542664263987382,0.1011165808604433,2.6388031452310274,0.5111092572096738,1.0860674966219726,8.664632564637653,4.599087011060693,70.00526836350076,0.08570639133683,-0.1364935514834455,16932.0518,16868.109,2.3692,3.05,3.33,0.08,1.6155,0.9371,6.3,138501.0,323.2725,320.0118041156339,31253.48592200111,31766.652588667774,57.476301778989736,41.84394432925055,186.60898819820628,33875755131.7125,163.2245,10.8641
2014-06-30,28.073,2.780958348978654,0.0,0.004,0.323,0.135,0.033,0.276,2.642,0.502,1.074,8.256,4.844,58.257,0.092,-0.152,16932.0518,16868.109,2.3723,3.08,3.34,0.09,1.6155,0.9371,6.1,138833.0,328.3417857142857,320.6475635668827,32476.485922001106,31380.48592200111,61.53646087324035,48.84318900266124,189.17420843424216,35753788024.77811,166.5923,11.116
2014-07-31,27.056,-6.930233898457864,0.0,0.004,0.323,0.135,0.033,0.276,2.642,0.502,1.074,8.256,4.844,58.257,0.092,-0.152,16932.0518,17064.616,2.375,3.07,3.32,0.08,1.6155,0.9371,6.2,139076.0,331.4696428571429,319.6265550912983,31297.18792640066,31675.719923467623,57.20253955722228,51.42902737053359,192.2051222655573,33970855739.9216,164.3537,12.1435
2014-08-29,28.37642868491553,-15.26360066107268,0.0,0.0072406464774295,0.2364963956830243,0.1731625785686957,0.0117134955578816,0.1983025323266427,2.677306178095522,0.5849713023661779,1.1960260232090576,8.266272743187388,3.99088702242949,-29.95807347411256,0.0383741516609537,-0.1338163840723526,16932.0518,17064.616,2.3746,2.83,3.09,0.07,1.6155,0.9371,6.1,139258.0,335.8517857142857,322.2150144124585,33901.88265851796,32558.518835639912,59.53972943554657,52.04373008947675,195.65801982024615,35793314941.1414,170.8397,12.5119
2014-09-30,28.025,3.662746967545254,0.0,0.002,0.331,0.135,0.019,0.267,2.679,0.483,1.05,8.154,4.841,85.656,0.096,-0.146,16932.0518,17064.616,2.3748,2.98,3.21,0.07,1.6155,0.9371,5.9,139563.0,337.36749999999995,322.2450124907974,32241.830109531576,32480.3002314834,53.37232216642299,45.93352263605895,198.67825942384127,34018293170.382843,168.4836,12.252
2014-10-31,26.55,0.2808948153011465,0.0,0.002,0.331,0.135,0.019,0.267,2.679,0.483,1.05,8.154,4.841,85.656,0.096,-0.146,16932.0518,17141.235,2.3743,2.81,3.07,0.07,1.6155,0.9371,5.7,139805.0,339.11607142857144,320.0070108253578,30543.71078510398,32229.14118438451,53.9311408016444,43.29662457517734,201.69229423536444,32238519885.37745,172.4516,12.4946
2014-11-28,26.16298185557014,5.470369486033626,0.0,0.0293226079516611,0.2180504882468685,0.1812248489879401,0.0418660507159226,0.3802316334655516,2.4885156996858444,0.3973973479300018,1.1367809412275616,8.845252975221987,3.892380429857482,5.168744772483635,0.087730139095787,-0.1742405535780518,16932.0518,17141.235,2.3698,2.62,2.89,0.08,1.6155,0.9371,5.8,140089.0,340.9732142857143,322.4914093819767,33861.710785103984,32215.75055991318,54.15494758373818,44.65313112601767,204.16164835065717,34079903642.270325,177.1892,12.9711
2014-12-31,25.262,-2.814015817364273,0.0,-0.003,0.337,0.125,-0.021,0.262,2.775,0.445,1.004,8.055,4.818,977.032,0.1,-0.159,16932.0518,17141.235,2.3625,2.47,2.75,0.06,1.6155,0.9371,5.6,140366.0,337.1389285714285,320.8725547977132,31032.710785103987,31812.71078510398,40.73780109048244,37.57544617585461,206.903615383644,32262186295.32032,176.7355,13.8974
2015-01-30,17.027494574218288,-0.5079937091993223,0.0,0.0323549524964627,0.354417183224065,0.1494330414668096,0.0806456876576378,0.3789678619606012,1.9757353904983588,0.5625651888376976,0.8443688122843815,7.423327840093148,3.855908045379864,4.486133359056531,0.1173632981166995,-0.1727069509364722,17390.2953,17280.647,2.3475,2.04,2.25,0.06,0.1211,-7.2393,5.7,140562.0,334.3467857142858,325.3602141580181,35450.710785103984,33448.377451770655,43.578539277852606,39.781226060993376,209.5783430759711,34169149924.02103,171.499,13.2136
2015-02-27,32.51091559351948,0.1342453188629457,0.0,0.0179023741804228,0.3983473818121248,0.1140829360784951,0.0897825147735078,0.2789291266936412,2.9599344132667165,0.574812984618907,1.07063215338588,8.365298968882716,4.236791799991828,-83.28450257497279,0.0917257604051434,-0.1477943488968822,17390.2953,17280.647,2.3534,2.38,2.6,0.06,0.1211,-7.2393,5.5,140829.0,333.0160714285715,332.66685227028233,38013.710785103984,34832.37745177065,47.132346150294,40.45616913571196,212.57677621445168,36113805148.39248,181.138,14.5349
