Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,SPY,NADQ,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2014-05-30,26.63011073785564,0.2757839196611825,-0.0185229948055036,0.084898344435271,0.4935317167888755,0.1033435807768702,0.0676262390346259,0.1117120400632827,0.4538305770348965,1.949010473612452,1.402800933185032,3.978033424021756,4.930330401467112,1.0310840485177268,0.2573034890307068,-0.0413320920944576,163.2245,10.8641,16932.0518,16868.109,2.3692,3.05,3.33,0.08,1.6155,0.9371,6.3,138501.0,18.46,18.485794544889742,1890.7578947368424,1840.3167243463856,69.87179487179492,100.0,12.51921089257749,-3630054006.811441
2014-06-30,12.763,0.154,0.365,0.117,0.604,0.134,0.108,0.14,0.484,3.981,5.012,4.402,5.357,1.133,0.314,-0.049,166.5923,11.116,16932.0518,16868.109,2.3723,3.08,3.34,0.09,1.6155,0.9371,6.1,138833.0,18.67,18.512897272444874,1845.2326732673264,1859.7633616374603,70.32258064516125,100.0,12.65142667472594,-3140783334.974825
2014-07-31,11.701,0.146,0.365,0.117,0.604,0.134,0.108,0.14,0.484,3.981,5.012,4.402,5.357,1.133,0.314,-0.049,164.3537,12.1435,16932.0518,17064.616,2.375,3.07,3.32,0.08,1.6155,0.9371,6.2,139076.0,18.346666666666668,18.006448636222437,1742.4773218142548,1826.155963272808,26.108374384236495,64.15099165179213,12.79299814123142,-2506980540.2549143
2014-08-29,23.77081892931574,-0.2095740590159124,-0.05823940100617,0.3043485739439953,0.4911150229419045,0.0978579946841713,0.1593305004295361,0.1189504340301098,0.3033191456574468,3.0417516166113288,4.514450585855655,4.034461831246054,6.795064316550041,1.0589706393957476,0.2530834230383783,-0.0983291453433146,170.8397,12.5119,16932.0518,17064.616,2.3746,2.83,3.09,0.07,1.6155,0.9371,6.1,139258.0,18.496666666666663,18.728224318111216,1937.744769874477,1841.8182549853527,56.52173913043478,65.20104975697464,12.929138178406792,-2994442711.2538943
2014-09-30,12.339,5.827,0.351,0.12,0.601,0.137,0.119,0.194,0.551,4.445,5.496,4.533,5.745,1.059,0.306,-0.043,168.4836,12.252,16932.0518,17064.616,2.3748,2.98,3.21,0.07,1.6155,0.9371,5.9,139563.0,18.466666666666665,18.58911215905561,1838.829181494662,1839.683757727798,48.87218045112783,65.72417789812937,13.060355414838655,-2401592211.504084
2014-10-31,13.107,6.171,0.351,0.12,0.601,0.137,0.119,0.194,0.551,4.445,5.496,4.533,5.745,1.059,0.306,-0.043,172.4516,12.4946,16932.0518,17141.235,2.3743,2.81,3.07,0.07,1.6155,0.9371,5.7,139805.0,19.146666666666665,19.064556079527804,1949.0384615384612,1908.5374709692005,75.24752475247524,63.96975643027439,13.202148306541885,-2830440415.6855493
2014-11-28,18.5886773740718,2.8596777765751336,-0.2184271010595222,0.1697523708057559,0.4684066450447804,0.1017102414946333,0.2852878612675019,0.0835503219631821,0.3874010339236786,2.8982478427882667,3.407647458398422,4.630896102587995,6.960283033052259,0.8094415753309252,0.2757546992537941,-0.0709537101295783,177.1892,12.9711,16932.0518,17141.235,2.3698,2.62,2.89,0.08,1.6155,0.9371,5.8,140089.0,19.65333333333333,20.0172780397639,2093.118055555556,1960.3285661962263,71.5909090909091,61.850019987721545,13.329105340411044,-3159453466.7620587
2014-12-31,12.619,3.155,0.323,0.128,0.598,0.138,0.13,0.244,0.631,4.84,5.929,4.672,6.113,1.018,0.295,-0.041,176.7355,13.8974,16932.0518,17141.235,2.3625,2.47,2.75,0.06,1.6155,0.9371,5.6,140366.0,20.186666666666667,20.033639019881957,2001.2566964285716,2014.4710711741964,73.25581395348841,31.290726414921792,13.484323233602824,-2818058419.6390376
2015-01-30,37.15261977870716,0.1427726160688489,0.2895334873817673,-0.0317232540705833,0.5743122522340509,0.1976021352344606,0.0115826065258544,0.1720408554527208,0.5480040313247766,4.552450148442052,6.784979067823456,4.142338166194211,7.070161511774004,1.4390022956082722,0.2871007004291168,-0.0863535733357461,171.499,13.2136,17390.2953,17280.647,2.3475,2.04,2.25,0.06,0.1211,-7.2393,5.7,140562.0,20.075,19.619319509940976,1911.707373271889,2002.0273750853387,44.75743348982785,36.2526991281735,13.639636768930767,-2388724682.5370374
2015-02-27,33.00416227717776,-0.4597940939349496,0.2377166734680279,-0.0667349047907202,0.6075946266383775,0.2301669886594541,0.1265438402625531,-0.0334286058227757,0.3558926477614189,2.912398890884565,2.9189951286592857,5.168996260245262,5.396169702255813,1.384978891286882,0.2158220099963982,-0.0307740753259328,181.138,14.5349,17390.2953,17280.647,2.3534,2.38,2.6,0.06,0.1211,-7.2393,5.5,140829.0,20.438333333333333,20.839659754970487,2200.679775280899,2037.8812816604527,61.79653679653679,34.67857383969138,13.781744033552153,-2739134335.5379143
