Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,SPY,NADQ,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2015-03-31,15.144,0.986,0.476,0.22,0.746,0.191,0.216,0.178,0.88,1.319,2.364,2.347,2.757,2.172,0.117,-0.016,178.286,14.8058,17390.2953,17280.647,2.3598,2.31,2.54,0.06,0.1211,-7.2393,5.4,140924.0,101.08333333333331,101.68047496287248,10049.609625668449,10098.585505613846,27.21010332950634,0.0,76.222517872221,20883782571.79387
2015-04-30,14.933,0.972,0.476,0.22,0.746,0.191,0.216,0.178,0.88,1.319,2.364,2.347,2.757,2.172,0.117,-0.016,180.0393,14.1344,17390.2953,17380.875,2.3622,2.49,2.75,0.08,0.1211,-7.2393,5.4,141202.0,100.77,100.44023748143624,9904.480830670927,10065.628406617629,41.72535211267608,0.0,76.76626751477659,19070851975.789658
2015-05-29,13.02439080036564,5.373116489280976,3.493104996018319,0.1599127959752089,0.7426573889503261,0.1840843038471763,0.0488151104363109,0.1539379165163965,0.7574040015387471,1.2808806432331534,1.9838119575787176,2.231332331429505,2.9415029665088923,1.851925801015614,0.1260144378114484,-0.0710108567259881,182.3539,15.0413,17390.2953,17380.875,2.37,2.63,2.88,0.08,0.1211,-7.2393,5.6,141540.0,99.98,100.29011874071811,9998.776397515529,9984.288951284969,22.11764705882348,29.34410093514852,77.27374216448105,20813137585.010365
2015-06-30,15.514,1.043,0.493,0.216,0.745,0.187,0.201,0.162,0.803,1.34,2.468,2.289,2.781,2.083,0.119,-0.011,178.6885,14.2566,17390.2953,17380.875,2.3766,2.83,3.11,0.08,0.1211,-7.2393,5.3,141695.0,98.93333333333334,98.87505937035904,9733.013386880855,9878.756871689104,18.7250996015936,30.035331174982232,77.81786732119143,19200910691.60167
2015-07-31,15.93,1.072,0.493,0.216,0.745,0.187,0.201,0.162,0.803,1.34,2.468,2.289,2.781,2.083,0.119,-0.011,182.6461,14.905,17390.2953,17437.08,2.3803,2.61,2.92,0.08,0.1211,-7.2393,5.2,141989.0,99.27,99.54252968517952,10008.673469387755,9913.48775126138,57.927786499215,63.90237648356566,78.2783099747676,20890982223.3663
2015-08-31,15.227,0.724,0.493,0.224,0.747,0.18,0.209,0.167,0.836,1.363,2.473,2.204,2.705,2.024,0.123,-0.007,171.4417,14.9518,17390.2953,17437.08,2.3803,2.64,2.95,0.08,0.1211,-7.2393,5.1,142130.0,97.21666666666664,96.76126484258975,9393.820643842617,9711.83583337041,23.58490566037736,30.309255580704004,78.73994377527224,19148497279.77606
2015-09-30,15.125,0.719,0.493,0.224,0.747,0.18,0.209,0.167,0.836,1.363,2.473,2.204,2.705,2.024,0.123,-0.007,167.1574,15.6533,17390.2953,17437.08,2.375,2.51,2.87,0.07,0.1211,-7.2393,5.0,142265.0,95.84666666666668,95.05563242129487,9330.820643842617,9577.771585690998,28.616024973985432,65.34340954507573,79.1851448997668,17386455713.783592
2015-10-30,19.358828275827705,-4.556879278496373,2.031527943066357,0.1020746020128353,0.7490640632995016,0.161892939799964,0.1048037369930659,0.2108458199375734,0.7768995833472756,1.7608153691642112,1.876945801142431,2.498994118971192,2.8493093138780154,1.513944553909008,0.1207309776970839,0.0014619026036553,181.4136,16.9917,17390.2953,17462.579,2.3773,2.57,2.93,0.07,0.1211,-7.2393,5.0,142585.0,96.12,98.04281621064744,10098.976881455976,9607.872723047069,52.81980742778544,67.68785045663992,79.52524200177146,19299932046.94208
2015-11-30,15.091,0.848,0.548,0.209,0.745,0.172,0.196,0.172,0.873,1.375,2.452,2.198,2.695,1.968,0.127,-0.029,182.0767,17.206,17390.2953,17462.579,2.3802,2.63,2.98,0.08,0.1211,-7.2393,5.1,142810.0,98.54,99.6414081053237,10117.137404580151,9848.978309959582,92.6056338028168,100.0,79.97713716173602,21203346742.824497
2015-12-31,15.312,0.86,0.548,0.209,0.745,0.172,0.196,0.172,0.873,1.375,2.452,2.198,2.695,1.968,0.127,-0.029,178.9488,17.1502,17390.2953,17462.579,2.3776,2.67,3.01,0.2,0.1211,-7.2393,5.0,143083.0,101.66333333333334,101.18070405266184,10265.31682447196,10160.477036836028,100.0,100.0,80.4375944185013,23095504567.78027
