Date,Pos_lag1,Pos_lag2,Pos_lag3,Pos_lag4,Pos_lag5,Neg_lag1,Neg_lag2,Neg_lag3,Neg_lag4,Neg_lag5,Neu_lag1,Neu_lag2,Neu_lag3,Neu_lag4,Neu_lag5
2016-07-01,-1.0048654,0.7686157,-1.1465483,-0.75539136,-1.4612736,0.62210536,-2.236445,0.71217555,0.98668736,2.0486994,1.1784371,1.5609124,1.2949492,0.2468103,0.21723583
2016-07-08,-1.2468371,-0.8847314,-0.6521017,-0.45719573,-1.0433962,1.2640563,0.7551412,-0.35096684,-0.4617256,0.90209985,0.84759516,0.9546173,1.5443251,1.5632876,0.88185704
2016-07-15,-1.2225044,-0.81292176,-0.7242721,-1.0919,-1.2891927,1.2264199,0.9989611,0.6078237,0.42271423,1.135521,0.9315091,0.39246538,0.67558765,1.2858566,0.98409134
2016-07-22,-0.88888246,-1.0509148,-1.4187282,-1.3077654,-1.3002001,0.7149443,0.6018741,1.2555434,1.7475307,1.3645447,0.78981954,1.0439768,1.095106,0.31294796,0.85225105
2016-07-29,0.7615011,-0.5749403,-0.52417535,-1.3128384,-0.9019372,-1.9255495,-0.27510658,-0.1958954,1.6764979,0.026700804,1.2265589,1.3887588,1.2109586,0.39694044,1.6046726
2016-08-05,-1.3566587,-0.5362825,-0.9764901,-0.87471783,-0.8410653,1.573831,0.04874977,0.26785427,0.9217607,1.2662996,0.670403,1.0316203,1.3958019,0.6050396,0.124585964
2016-08-12,-1.3301424,-1.028209,-1.3429822,-0.9757953,-0.34417772,1.3495674,1.0847702,1.859513,0.27939412,-0.7096255,0.80620563,0.5088907,0.42046687,1.3455656,1.6218729
2016-08-19,-0.65774363,-1.1077032,-0.384627,-1.0586995,-1.4382849,0.17402968,0.5177295,-0.113842115,0.34767333,1.9661633,1.0359154,1.4377313,0.94859904,1.520663,0.39303833
2016-08-26,-1.0150228,-0.5061199,-0.8709583,-0.90360695,-0.61585265,0.6703724,0.9686489,0.04007056,0.30060673,0.13636431,1.0499295,0.06384999,1.4913108,1.3413297,0.9754925
2016-09-02,-0.85857487,-0.95783204,-1.170397,-1.1489455,-1.0854051,0.22708368,0.7895664,0.9647027,1.0645108,1.3313537,1.0831647,0.92988116,0.98669946,0.82733303,0.26333588
2016-09-09,-0.72525525,-1.2080349,-1.248497,-1.0627913,-1.46775,0.29986072,1.6392422,1.469942,0.7427796,1.4462394,1.0429472,0.37657475,0.62823737,1.0825012,1.0251389
2016-09-16,-0.8205194,-0.25157937,-0.5162211,-0.5072213,-1.5469462,0.79150736,-0.7323109,0.44048193,-0.10879268,2.2854626,0.8312396,1.3721133,0.4435751,1.3086306,0.36123267
2016-09-23,-1.3838081,-0.8247745,-0.8529361,-1.061512,-1.2737867,1.7234346,0.5867128,0.66308796,1.0344793,0.75084436,0.43984485,0.8889436,0.74571216,0.80573016,1.3458315
2016-09-30,-1.3808511,-0.6061166,-1.3466568,-1.0442028,-1.4480712,1.4765775,0.09286729,1.26865,0.7419172,0.91190886,0.71628517,1.0764217,1.0027531,1.0055375,1.5478437
2016-10-07,-0.9136262,-0.58474666,-0.41274917,-1.1169798,-1.1807913,0.43919563,0.73896176,-0.14484318,0.84655094,1.4871095,1.1787443,0.1436577,1.0992305,1.1211649,0.35823613
2016-10-14,-0.4064857,-1.29573,-1.2328717,-0.8663256,-1.5582681,-0.4149877,1.2756593,1.0693747,0.42586687,1.8990176,1.2483355,0.87997216,0.89124936,1.1752337,0.9323711
2016-10-21,-1.1207922,-1.0546227,-0.6020765,-0.7577839,-1.0157361,0.9240085,0.86399204,-0.036714826,0.5421384,1.2879399,1.1313537,0.9475367,1.2117299,0.8382695,0.5331478
2016-10-28,-1.260856,-1.3396208,-0.8011249,-0.07225914,-0.5704634,1.3699601,0.8745999,0.1422129,-0.3692563,0.6751614,0.7618944,1.2394228,1.1567724,0.65952533,0.3065776
2016-11-04,-0.9490277,-1.1125785,-0.8767456,-0.63804054,-0.30811834,0.31435817,1.1417282,0.6061154,0.28283995,-0.16484389,1.219631,0.7185453,0.86107427,0.69279814,0.6988632
2016-11-11,-0.9224284,-0.50193685,-1.1336329,-0.79943424,-1.23079,0.3903538,0.030355573,1.018941,0.5450604,1.348497,1.2025908,1.0551205,1.1281583,1.0212148,0.7296011
2016-11-18,-0.78055704,-0.8079339,-0.9662207,-0.6279708,-0.77408785,0.059568387,0.7066697,0.5566195,0.0062845,0.25996745,1.4307013,0.56547105,1.102852,1.2279332,1.1015154
2016-11-25,-1.3345411,-0.6754251,-0.4203072,-1.1166447,-0.2723036,1.0489888,0.74158245,-0.08640635,0.7261636,-0.7794281,1.1505727,0.46208873,0.9715455,1.0787278,1.5311555
2016-12-02,-0.6195707,-0.637476,0.24672523,-0.79373693,-1.3255292,0.04872956,0.40513548,-1.1929476,0.35678297,1.0948986,1.0019618,0.8783418,0.947527,1.0657743,1.1407948
2016-12-09,-1.1187615,-0.6027773,-0.8946923,-0.831559,-1.001889,0.4207943,-0.9753438,0.8805902,0.87818,1.1231976,1.6118587,2.0632565,0.62246025,0.592414,0.61919796
2016-12-16,-1.1133249,-0.67204404,-0.8187269,-0.89807016,-0.85024744,1.1729836,1.2033968,0.39892143,0.5766721,-0.009096876,0.65394276,0.038453918,1.1013762,1.046057,1.3601621
2016-12-23,-0.43991417,-0.7105131,-1.0845761,-0.8446114,-0.96588856,0.033232357,0.7106103,1.0753651,0.9309538,-0.020338574,0.9807852,0.6925666,0.84468985,0.6081425,1.7822562
