Date,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,gdpr1_tr,gdpr2_tr,cpi_tr,bond20yr_tr,bond30yr_tr,fedfunds_tr,cpir_tr,wpir_tr,unemp_tr,employ_tr
2016-06-30,17680.2738,17618.581,2.4022,1.86,2.3,0.3,1.2674,-2.6501,4.9,144152.0,17668.567452314834,17673.664853674265,2.4013780311767596,1.77184427630969,2.237986736386445,0.19199628981082767,1.067762341339664,-2.9628316752435384,4.9064702901546084,144155.93019366582
2016-07-29,17680.2738,17724.489,2.401,1.78,2.18,0.3,1.2674,-2.6501,4.8,144515.0,,,,,,,,,,
2016-08-31,17680.2738,17724.489,2.4055,1.9,2.23,0.3,1.2674,-2.6501,4.9,144664.0,17730.714391147714,17700.636981336153,2.4058436981709033,2.048907959810614,2.2894994486728772,0.2760831721484709,1.0871238838728436,-2.5601065158457486,4.857332188985608,144654.25344086293
2016-09-30,17680.2738,17724.489,2.4118,1.99,2.32,0.29,1.2674,-2.6501,5.0,144961.0,17761.994567687605,17731.276660488646,2.4113804130198147,2.0794358443471843,2.3163148872454387,0.32296400033483513,1.0971375496566547,-2.2438990117476565,4.990584345807647,145025.7913957283
2016-10-31,17680.2738,17812.56,2.4174,2.25,2.58,0.31,1.2674,-2.6501,4.9,145069.0,17791.749144796962,17782.095788942348,2.4171320500211815,2.3249772074291712,2.6460165501556676,0.37965298199780306,1.1062463955626372,-1.9768431901551828,4.907051080693183,145071.80301001662
2016-11-30,17680.2738,17812.56,2.4203,2.73,3.02,0.31,1.2674,-2.6501,4.7,145189.0,17828.428885878853,17816.465895602927,2.4208537939837154,2.6289338433659664,2.961344018560414,0.5178004168331408,1.1136904279170345,-2.721134234167059,4.674675027509802,145218.41301447642
2016-12-30,17680.2738,17812.56,2.4264,2.79,3.06,0.55,1.2674,-2.6501,4.7,145408.0,,,,,,,,,,
2017-01-31,18076.6515,17889.094,2.4362,2.78,3.05,0.56,2.1314,4.4122,4.7,145639.0,17890.4654500706,17857.892736124937,2.4331282540943366,2.710381051272919,3.009482129016678,0.6105250517166325,2.350006340356047,2.3072603680024426,4.707071827844623,145603.13094810914
2017-02-28,18076.6515,17889.094,2.4401,2.7,2.97,0.57,2.1314,4.4122,4.6,145845.0,17924.483040278483,17890.280380683816,2.435322827449875,2.650482847005105,2.943244104920882,0.6369631965198013,2.341485539517852,5.399703357024958,4.586286949611941,145835.87450105723
2017-03-31,18076.6515,17889.094,2.4389,2.76,3.02,0.82,2.1314,4.4122,4.4,145975.0,17959.37139490139,17923.907485788746,2.441340910268974,2.7941590308297912,3.0545222751712977,0.7137963055148773,2.3376994146883003,5.1578173102301745,4.407516159378398,145976.5454171552
2017-04-28,18076.6515,17979.218,2.4419,2.67,2.96,0.83,2.1314,4.4122,4.4,146172.0,,,,,,,,,,
2017-05-31,18076.6515,17979.218,2.44,2.6,2.87,0.83,2.1314,4.4122,4.4,146389.0,18027.357828578384,18000.049515968447,2.440376680341935,2.6423184415777685,2.921919631109643,0.8039726330953513,2.3379887138894957,4.1319245292046425,4.436379535757868,146390.62336844526
2017-06-30,18076.6515,17979.218,2.4416,2.61,2.84,1.06,2.1314,4.4122,4.3,146588.0,18062.87676435636,18027.75206760251,2.4420679416336535,2.572710769625322,2.82411725926147,0.8988045145938185,2.340125341614454,4.297999180319934,4.305945348427156,146591.49325945493
2017-07-31,18076.6515,18127.994,2.4424,2.66,2.89,1.07,2.1314,4.4122,4.3,146772.0,18098.661449588802,18065.907156539943,2.443772191738404,2.6081723925398794,2.8517599337597175,0.9614688516015566,2.342810152570514,4.211541840697593,4.32807479243651,146743.85840016464
