Date,Pos_lag1,Pos_lag2,Pos_lag3,Neg_lag1,Neg_lag2,Neg_lag3,Neu_lag1,Neu_lag2,Neu_lag3
2015-06-22,-1.0803686,-1.3843365,-1.1271623,0.56156003,1.2011262,0.59728986,1.4512974,1.0492616,1.504659
2015-06-23,-1.4457462,-1.0803686,-1.3843365,1.4532257,0.56156003,1.2011262,1.1197902,1.4512974,1.0492616
2015-06-24,-0.3784383,-1.4457462,-1.0803686,-0.3215192,1.4532257,0.56156003,1.0772197,1.1197902,1.4512974
2015-06-25,-1.0423769,-0.3784383,-1.4457462,0.6703765,-0.3215192,1.4532257,1.2573428,1.0772197,1.1197902
2015-06-26,-0.31363648,-1.0423769,-0.3784383,-0.43361568,0.6703765,-0.3215192,1.27036,1.2573428,1.0772197
2015-06-27,-0.42335087,-0.31363648,-1.0423769,0.17207342,-0.43361568,0.6703765,0.96418977,1.27036,1.2573428
2015-06-28,-0.46309376,-0.42335087,-0.31363648,-0.6432531,0.17207342,-0.43361568,1.5964857,0.96418977,1.27036
2015-06-29,-1.1202178,-0.46309376,-0.42335087,1.5069892,-0.6432531,0.17207342,0.6449101,1.5964857,0.96418977
2015-06-30,-0.9894818,-1.1202178,-0.46309376,1.1441174,1.5069892,-0.6432531,0.53209627,0.6449101,1.5964857
2015-07-01,-1.2168574,-0.9894818,-1.1202178,1.2227459,1.1441174,1.5069892,0.7114712,0.53209627,0.6449101
2015-07-02,-0.33927518,-1.2168574,-0.9894818,0.3840611,1.2227459,1.1441174,0.36778173,0.7114712,0.53209627
2015-07-03,-0.7677254,-0.33927518,-1.2168574,0.37824228,0.3840611,1.2227459,1.0617242,0.36778173,0.7114712
2015-07-04,-1.0559733,-0.7677254,-0.33927518,0.4551477,0.37824228,0.3840611,1.3530817,1.0617242,0.36778173
2015-07-05,-0.5251962,-1.0559733,-0.7677254,-0.092064165,0.4551477,0.37824228,1.1544911,1.3530817,1.0617242
2015-07-06,-0.004564663,-0.5251962,-1.0559733,-0.7909706,-0.092064165,0.4551477,1.0823108,1.1544911,1.3530817
2015-07-07,-0.3920698,-0.004564663,-0.5251962,0.21744394,-0.7909706,-0.092064165,0.52061355,1.0823108,1.1544911
2015-07-08,-0.9751436,-0.3920698,-0.004564663,0.8126844,0.21744394,-0.7909706,0.93136114,0.52061355,1.0823108
2015-07-09,-0.38459957,-0.9751436,-0.3920698,0.14902033,0.8126844,0.21744394,0.5344805,0.93136114,0.52061355
2015-07-10,-1.0100235,-0.38459957,-0.9751436,1.2946792,0.14902033,0.8126844,0.4109218,0.5344805,0.93136114
2015-07-11,-0.83169776,-1.0100235,-0.38459957,0.57568127,1.2946792,0.14902033,0.8475518,0.4109218,0.5344805
2015-07-12,-0.61817855,-0.83169776,-1.0100235,-0.047954254,0.57568127,1.2946792,1.253621,0.8475518,0.4109218
2015-07-13,-0.3752352,-0.61817855,-0.83169776,-0.18710943,-0.047954254,0.57568127,1.11091,1.253621,0.8475518
2015-07-14,-0.39067957,-0.3752352,-0.61817855,0.54464173,-0.18710943,-0.047954254,0.15941074,1.11091,1.253621
2015-07-15,-0.12280178,-0.39067957,-0.3752352,0.39205673,0.54464173,-0.18710943,0.25345933,0.15941074,1.11091
2015-07-16,-0.69046134,-0.12280178,-0.39067957,0.38522804,0.39205673,0.54464173,0.77828455,0.25345933,0.15941074
2015-07-17,-0.6399444,-0.69046134,-0.12280178,0.4945253,0.38522804,0.39205673,0.6971698,0.77828455,0.25345933
2015-07-18,-0.9693899,-0.6399444,-0.69046134,0.5033866,0.4945253,0.38522804,1.2090391,0.6971698,0.77828455
2015-07-19,-1.1302019,-0.9693899,-0.6399444,1.054779,0.5033866,0.4945253,0.99559045,1.2090391,0.6971698
2015-07-20,-0.86191124,-1.1302019,-0.9693899,-0.3873931,1.054779,0.5033866,1.9609231,0.99559045,1.2090391
2015-07-21,-0.851382,-0.86191124,-1.1302019,-0.0019132769,-0.3873931,1.054779,1.5998605,1.9609231,0.99559045
2015-07-22,-1.5180457,-0.851382,-0.86191124,1.2703676,-0.0019132769,-0.3873931,1.5178003,1.5998605,1.9609231
2015-07-23,-1.1195503,-1.5180457,-0.851382,1.2628899,1.2703676,-0.0019132769,0.5280635,1.5178003,1.5998605
2015-07-24,-0.27397054,-1.1195503,-1.5180457,-0.095267616,1.2628899,1.2703676,0.7773122,0.5280635,1.5178003
2015-07-25,-0.98514646,-0.27397054,-1.1195503,0.13661042,-0.095267616,1.2628899,1.5663216,0.7773122,0.5280635
2015-07-26,-1.4844364,-0.98514646,-0.27397054,1.3647505,0.13661042,-0.095267616,1.2476135,1.5663216,0.7773122
2015-07-27,-1.6293749,-1.4844364,-0.98514646,2.099568,1.3647505,0.13661042,0.39346734,1.2476135,1.5663216
2015-07-28,-0.5260592,-1.6293749,-1.4844364,0.5011268,2.099568,1.3647505,0.56339437,0.39346734,1.2476135
2015-07-29,-1.1785574,-0.5260592,-1.6293749,1.5974303,0.5011268,2.099568,0.44390085,0.56339437,0.39346734
2015-07-30,-0.87313837,-1.1785574,-0.5260592,0.49261123,1.5974303,0.5011268,1.0727444,0.44390085,0.56339437
2015-07-31,-1.3153318,-0.87313837,-1.1785574,1.3593943,0.49261123,1.5974303,0.6891101,1.0727444,0.44390085
2015-08-01,-0.8024345,-1.3153318,-0.87313837,-0.06428477,1.3593943,0.49261123,1.5961732,0.6891101,1.0727444
2015-08-02,-0.33344042,-0.8024345,-1.3153318,-0.35866404,-0.06428477,1.3593943,0.92017525,1.5961732,0.6891101
2015-08-03,-0.5809499,-0.33344042,-0.8024345,0.3398991,-0.35866404,-0.06428477,0.8015438,0.92017525,1.5961732
