Date,5. adjusted close,6. volume,direction,Symbol
2016-04-22,16.9167,22392325,0,TSLA
2016-04-15,16.9673,27735047,0,TSLA
2016-04-08,16.6713,51349611,1,TSLA
2016-04-01,15.8393,35983378,1,TSLA
2016-03-24,15.1833,19533551,1,TSLA
2016-03-18,15.516,19257545,0,TSLA
2016-03-11,13.8333,21059948,1,TSLA
2016-03-04,13.4027,27391628,1,TSLA
2016-02-26,12.6893,28255892,1,TSLA
2016-02-19,11.1053,18265917,1,TSLA
2016-02-12,10.0693,49859296,1,TSLA
2016-02-05,10.84,32825595,0,TSLA
2016-01-29,12.7467,18725183,0,TSLA
2016-01-22,13.5033,16167498,0,TSLA
2016-01-15,13.666,23379136,0,TSLA
2016-01-08,14.0667,20975335,0,TSLA
2015-12-31,16.0007,10720553,0,TSLA
2015-12-24,15.3713,6179925,1,TSLA
2015-12-18,15.364,16493091,1,TSLA
2015-12-11,14.468,14230030,1,TSLA
2015-12-04,15.3587,14888403,0,TSLA
2015-11-27,15.4407,10946624,0,TSLA
2015-11-20,14.6673,14790718,1,TSLA
2015-11-13,13.8127,18161900,1,TSLA
2015-11-06,15.4907,31928932,0,TSLA
2015-10-30,13.7953,15883413,1,TSLA
2015-10-23,13.9393,28652034,0,TSLA
2015-10-16,15.134,19291010,0,TSLA
2015-10-09,14.7127,28031307,1,TSLA
2015-10-02,16.5047,22461718,0,TSLA
2015-09-25,17.1273,19606869,0,TSLA
2015-09-18,17.3747,17590274,0,TSLA
2015-09-11,16.6827,11588887,1,TSLA
2015-09-04,16.1287,22668096,1,TSLA
2015-08-28,16.5653,32041553,0,TSLA
2015-08-21,15.3847,26471998,1,TSLA
2015-08-14,16.21,21243948,0,TSLA
2015-08-07,16.1673,29401206,1,TSLA
2015-07-31,17.7433,15637207,0,TSLA
2015-07-24,17.694,19255837,1,TSLA
2015-07-17,18.3107,13509641,0,TSLA
2015-07-10,17.2767,22393071,1,TSLA
2015-07-02,18.668,15830998,0,TSLA
2015-06-26,17.806,17531828,1,TSLA
2015-06-19,17.5007,14929489,1,TSLA
2015-06-12,16.7127,14548989,1,TSLA
2015-06-05,16.6093,11897012,1,TSLA
2015-05-29,16.72,14343448,0,TSLA
2015-05-22,16.5153,14976744,1,TSLA
2015-05-15,16.5893,24899355,0,TSLA
2015-05-08,15.774,29626547,1,TSLA
2015-05-01,15.0687,30887629,1,TSLA
2015-04-24,14.5617,20693856,1,TSLA
2015-04-17,13.786,12865556,1,TSLA
2015-04-10,14.06,30974693,0,TSLA
2015-04-02,12.7333,23921074,1,TSLA
2015-03-27,12.3333,24744778,1,TSLA
2015-03-20,13.2053,28088482,0,TSLA
2015-03-13,12.5787,26874878,1,TSLA
2015-03-06,12.9253,28165809,0,TSLA
2015-02-27,13.556,29367794,0,TSLA
2015-02-20,14.474,17829482,0,TSLA
2015-02-13,13.5847,40472677,1,TSLA
2015-02-06,14.4907,19047685,0,TSLA
2015-01-30,13.5733,15720217,1,TSLA
2015-01-23,13.4193,16215501,1,TSLA
2015-01-16,12.8713,30799137,1,TSLA
2015-01-09,13.7773,22622034,0,TSLA
2015-01-02,14.6207,12881610,0,TSLA
2014-12-26,15.188,13980772,0,TSLA
2014-12-19,14.6193,35406001,1,TSLA
2014-12-12,13.8,39839440,1,TSLA
2014-12-05,14.914,29756957,0,TSLA
