Date,adjusted_close,volume,direction,Symbol,volatility
2015-01-30,60.2364,56093964,0,V,2.502441821581474
2015-02-27,64.2275,49187104,1,V,2.960056859859284
2015-03-31,61.9383,136699508,0,V,2.88066974670822
2015-04-30,62.5443,160608587,0,V,2.705554079001195
2015-05-29,65.1484,144581935,1,V,2.233038187402985
2015-06-30,63.6971,131118485,0,V,2.41872929663491
2015-07-31,71.466,177273461,1,V,2.3676516404234826
2015-08-31,67.7441,178934538,1,V,3.5880889593208236
2015-09-30,66.1859,208292303,0,V,3.9171859438122114
2015-10-30,73.7109,177419211,0,V,4.071159354483679
2015-11-30,75.2018,183615398,1,V,4.913348135436766
2015-12-31,73.8122,196690064,1,V,4.66932794847395
2016-01-29,70.8996,260380987,1,V,3.8976657612473606
2016-02-29,69.0348,213955896,0,V,3.733609136479069
2016-03-31,72.9352,195451016,0,V,3.7713888032924925
2016-04-29,73.66,174268331,0,V,2.4982900885205446
2016-05-31,75.4175,146453556,1,V,2.414735253066055
2016-06-30,70.8604,233222035,0,V,2.4605926778725467
2016-07-29,74.5673,183918469,0,V,2.935015964931026
2016-08-31,77.4239,149237623,0,V,3.0729080109889404
2016-09-30,79.1466,179003676,1,V,2.9069876962931955
2016-10-31,78.9648,178635744,1,V,2.9224776203762484
2016-11-30,74.1502,234696164,0,V,2.9377716266585496
2016-12-30,74.8215,244868085,0,V,3.030440035770384
2017-01-31,79.3193,159153885,0,V,2.6373851979564913
2017-02-28,84.4938,167783472,0,V,3.0378762314485424
2017-03-31,85.3874,176898019,0,V,3.6041979305249026
2017-04-28,87.6453,156139058,0,V,3.55486243750725
2017-05-31,91.6627,155976358,1,V,1.840075397803032
2017-06-30,90.267,197251059,0,V,1.5694959529734331
2017-07-31,95.8305,154989518,0,V,2.3146981579463
2017-08-31,99.8012,148740209,0,V,2.4179534111309935
2017-09-29,101.4594,137450408,0,V,2.3813046135259572
2017-10-31,106.0292,140428442,0,V,2.424468084673421
2017-11-30,108.7361,136051994,0,V,2.4907992315720686
